"26957420","临高启明","","'[美] 彼得·海斯勒'","'李雪顺'","'上海译文出版社'","'2011-1'","'33.00元'","9.5"
"6527857","六朝清羽記 1","","紫狂、罗森","","河圖文化","2009-8-21","180NT","7.5"
"25716092","木槿花西月锦绣5","紫蕖连理帝王花","海飘雪","","青岛出版社","2013-9","29.80元","7.1"
"25764871","尋郎（上）","","汀風","","麥田","2014-2-11","NT$250","8.1"
"2120534","寻龙记","","Vivibear","","新世界出版社","2007-05","20.0","7.0"
"3998997","芙洛","","明月珰","","华文出版社","2009-8","25.00元","6.5"
"11510504","饕餮西施（上）","","今朝醉","清歌一片","藍海文化","2012-4-11","230NT$","7.3"
"3894618","窈窕庶女","","东篱菊隐","","晨光出版社","2009-7","28.00元","6.5"
"3284084","武林萌主（上下）","","玄色","","朝华出版社","2008-11","49.80元","7.0"
"25908432","天定风华6·笑凭阑（上下）","","天下归元","","江苏文艺出版社","2014-7","59.80元","8.1"
"3260520","秀丽江山·玄武卷","","李歆","","朝华出版社","2008-11","23.0","8.0"
"3101286","新宋Ⅱ·权柄4","权柄4","阿越","","花山文艺出版社","2008-06","25.0","8.6"
"10751093","傲风2","北境放逐之地Ⅰ","风行烈","","江苏文艺出版社","2012-6","49.80元","8.3"
"2970251","怜香惜玉（全2册）","","十四郎","","花山文艺出版社","2008-01","38.0","7.1"
"25986726","美人渡君（上下）","","月下金狐","","江苏文艺出版社","2014-10","59.80元","7.0"
"4925049","长生","","书闲庭","","珠海出版社","2008-9-1","23.80元","7.9"
"3710711","春秋大梦","","梦三生","","华文出版社","2009-4","23.00元","7.8"
"10801275","一度君华","","一度君华","","陕西人民出版社","2012-9","19.80元","7.5"
"25835991","一世倾城1","风云起","苏小暖","","江苏文艺出版社","2014-2","55.00元","6.3"
"5403363","盘丝洞38号（上下）","","卫风","","江苏文艺","2010-12","45.00元","7.2"
"26834531","帝医风华1妙手乾坤倾天下","","阿彩","","青岛出版社","2016-6","USD 65.00","7.4"
"4851822","窃明第二部·虎狼","","灰熊猫","","辽宁教育出版社","2010-6","29.80元","7.7"
"4834582","无盐妖娆（全二册）","","林家成","","江苏文艺出版社","2010-5","45.00元","6.7"
"3369771","大唐明月 卷五","生死一線","藍雲舒","","希代","2012-11-14","NT$250","8.5"
"25700790","掌事(卷三)","","清楓聆心","","說頻文化","2013-6-26","NTD 250","8.3"
"25929621","君心荡漾（君心似我心）","","'清楓聆心'","''","'說頻文化'","'2013-6-26'","'NTD 250'","6.9"
