3864073,Objective-C基础教程,,Mark Dalrymple、Scott Knaster,高朝勤、杨越、刘霞,人民邮电出版社,2009-8,49.00元,7.3
3854718,认知心理学,(第五版),(英)艾森克、基恩,高定国,华东师范大学出版社,2009-7-1,88.00元,8.2
3746065,工程和设计中的人因学,,吴吉义,,中国电力,2007-8,28.00元,7.6
3787852,Designing Social Interfaces,Principles, Patterns, and Practices for Improving the User Experience,Christian Crumlish、Erin Malone,,Yahoo Press,2009-10-8,USD 49.99,7.9
3792134,Designing for the Digital Age,How to Create Human-Centered Products and Services,Kim Goodwin,,Wiley; annotated edition edition,February 24, 2009,$44.09,9.0
3815834,Now You See It,Simple Visualization Techniques for Quantitative Analysis,Stephen Few,,Analytics Press,2009-4-1,USD 45.00,8.3
3817241,未来产品的设计,,Donald A.Norman,刘松涛,电子工业出版社,2009-06,39.00,7.5
1340897,Picture This,How Pictures Work,Molly Bang,,Chronicle Books,2004-10-26,CAD 14.99,8.7
4141730,数字化成长3.0版,,唐·泰普斯科特,云帆,中国人民大学出版社,2009-11,39.80元,6.7
4149101,Effective UI,The Art of Building Great User Experience in Software,EffectiveUI、Jonathan Anderson、John McRee、Robb Wilson,,O'Reilly Media,2010-2-10,USD 44.99,7.4
4195708,Data Flow 2,Visualizing Information in Graphic Design,EffectiveUI、Jonathan Anderson、John McRee、Robb Wilson,,O'Reilly Media,2010-2-10,USD 44.99,9.2
1444838,最佳设计100细则,,利德威尔,刘宏照,上海人民美术出版社,2005-7,72.00元,8.4
1441852,平面设计原理,,阿历克斯·伍·怀特,黄文丽、文学武,上海人民美术出版社,2005-01-01,28.00,8.1
4233474,设计网事,互联网产品设计实践,千鸟,,清华大学出版社,2010-1,38.00元,7.6
4016085,Search Patterns,Design for Discovery,Peter Morville、Jeffery Callender,,O'Reilly Media,2010-2-2,USD 39.99,7.5
4009856,用户体验度量,,[美] 特里斯(Tullis.T.)、[美] 阿伯特(Albert.B.),周荣刚,机械工业,2009-8,49.00,8.1
1458781,Web ReDesign 2.0,Workflow that Works,Kelly Goto、Emily Cotler,,Peachpit Press,2004-12-10,USD 45.00,7.8
